,instant,season,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,BusiestSta
0,1.0,1.0,1.0,0.0,6.0,0.0,2.0,0.344167,0.363625,0.805833,0.160446,31228
1,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.363478,0.35373899999999997,0.696087,0.24853899999999998,31602
2,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.196364,0.189405,0.43727299999999997,0.248309,31101
3,4.0,1.0,1.0,0.0,2.0,1.0,1.0,0.2,0.21212199999999998,0.590435,0.160296,31101
4,5.0,1.0,1.0,0.0,3.0,1.0,1.0,0.22695700000000002,0.22926999999999997,0.436957,0.1869,31104
5,6.0,1.0,1.0,0.0,4.0,1.0,1.0,0.204348,0.23320900000000003,0.518261,0.0895652,31101
6,7.0,1.0,1.0,0.0,5.0,1.0,2.0,0.196522,0.208839,0.49869600000000003,0.168726,31104
7,8.0,1.0,1.0,0.0,6.0,0.0,2.0,0.165,0.162254,0.535833,0.266804,31104
8,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.13833299999999998,0.116175,0.434167,0.36195,31201
9,10.0,1.0,1.0,0.0,1.0,1.0,1.0,0.150833,0.15088800000000002,0.482917,0.22326700000000002,31200
10,11.0,1.0,1.0,0.0,2.0,1.0,2.0,0.16909100000000002,0.19146400000000002,0.6863640000000001,0.12213199999999999,31101
11,12.0,1.0,1.0,0.0,3.0,1.0,1.0,0.172727,0.160473,0.599545,0.304627,31200
12,13.0,1.0,1.0,0.0,4.0,1.0,1.0,0.165,0.150883,0.47041700000000003,0.301,31101
13,14.0,1.0,1.0,0.0,5.0,1.0,1.0,0.16087,0.188413,0.537826,0.126548,31104
14,15.0,1.0,1.0,0.0,6.0,0.0,2.0,0.23333299999999998,0.248112,0.49875,0.15796300000000002,31200
15,16.0,1.0,1.0,0.0,0.0,0.0,1.0,0.231667,0.234217,0.48375,0.188433,31104
16,17.0,1.0,1.0,1.0,1.0,0.0,2.0,0.175833,0.176771,0.5375,0.194017,31200
17,18.0,1.0,1.0,0.0,2.0,1.0,2.0,0.216667,0.23233299999999998,0.861667,0.146775,31200
18,19.0,1.0,1.0,0.0,3.0,1.0,2.0,0.292174,0.29842199999999997,0.741739,0.208317,31101
19,20.0,1.0,1.0,0.0,4.0,1.0,2.0,0.261667,0.25505,0.538333,0.195904,31200
20,21.0,1.0,1.0,0.0,5.0,1.0,1.0,0.1775,0.157833,0.457083,0.353242,31200
21,22.0,1.0,1.0,0.0,6.0,0.0,1.0,0.0591304,0.0790696,0.4,0.17197,31104
22,23.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0965217,0.09883910000000001,0.436522,0.2466,31200
23,24.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0973913,0.11793,0.49173900000000004,0.15833,31110
24,25.0,1.0,1.0,0.0,2.0,1.0,2.0,0.223478,0.234526,0.616957,0.129796,31110
25,26.0,1.0,1.0,0.0,3.0,1.0,3.0,0.2175,0.2036,0.8625,0.29385,31104
26,27.0,1.0,1.0,0.0,4.0,1.0,1.0,0.195,0.2197,0.6875,0.113837,31200
27,28.0,1.0,1.0,0.0,5.0,1.0,2.0,0.203478,0.22331700000000002,0.793043,0.1233,31101
28,29.0,1.0,1.0,0.0,6.0,0.0,1.0,0.196522,0.212126,0.6517390000000001,0.14536500000000002,31104
29,30.0,1.0,1.0,0.0,0.0,0.0,1.0,0.216522,0.250322,0.722174,0.0739826,31104
30,31.0,1.0,1.0,0.0,1.0,1.0,2.0,0.180833,0.18625,0.60375,0.187192,31104
31,32.0,1.0,2.0,0.0,2.0,1.0,2.0,0.192174,0.23453000000000002,0.829565,0.053212999999999996,31200
32,33.0,1.0,2.0,0.0,3.0,1.0,2.0,0.26,0.254417,0.775417,0.264308,31200
33,34.0,1.0,2.0,0.0,4.0,1.0,1.0,0.18695699999999998,0.177878,0.43782600000000005,0.277752,31104
34,35.0,1.0,2.0,0.0,5.0,1.0,2.0,0.211304,0.22858699999999998,0.585217,0.127839,31104
35,36.0,1.0,2.0,0.0,6.0,0.0,2.0,0.23333299999999998,0.243058,0.929167,0.161079,31602
36,37.0,1.0,2.0,0.0,0.0,0.0,1.0,0.285833,0.291671,0.568333,0.1418,31104
37,38.0,1.0,2.0,0.0,1.0,1.0,1.0,0.271667,0.303658,0.738333,0.045408300000000006,31200
38,39.0,1.0,2.0,0.0,2.0,1.0,1.0,0.220833,0.198246,0.537917,0.36195,31110
39,40.0,1.0,2.0,0.0,3.0,1.0,2.0,0.134783,0.144283,0.494783,0.188839,31104
40,41.0,1.0,2.0,0.0,4.0,1.0,1.0,0.144348,0.14954800000000001,0.437391,0.221935,31104
41,42.0,1.0,2.0,0.0,5.0,1.0,1.0,0.189091,0.213509,0.506364,0.10855,31101
42,43.0,1.0,2.0,0.0,6.0,0.0,1.0,0.2225,0.232954,0.544167,0.20336700000000002,31104
43,44.0,1.0,2.0,0.0,0.0,0.0,1.0,0.31652199999999997,0.324113,0.457391,0.260883,31201
44,45.0,1.0,2.0,0.0,1.0,1.0,1.0,0.415,0.39835,0.375833,0.417908,31201
45,46.0,1.0,2.0,0.0,2.0,1.0,1.0,0.26608699999999996,0.254274,0.314348,0.29137399999999997,31101
46,47.0,1.0,2.0,0.0,3.0,1.0,1.0,0.318261,0.3162,0.42347799999999997,0.251791,31200
47,48.0,1.0,2.0,0.0,4.0,1.0,1.0,0.43583299999999997,0.428658,0.505,0.230104,31200
48,49.0,1.0,2.0,0.0,5.0,1.0,1.0,0.521667,0.511983,0.516667,0.264925,31200
49,50.0,1.0,2.0,0.0,6.0,0.0,1.0,0.399167,0.391404,0.187917,0.507463,31104
50,51.0,1.0,2.0,0.0,0.0,0.0,1.0,0.285217,0.27733,0.407826,0.223235,31200
51,52.0,1.0,2.0,1.0,1.0,0.0,2.0,0.303333,0.284075,0.605,0.307846,31104
52,53.0,1.0,2.0,0.0,2.0,1.0,1.0,0.182222,0.186033,0.577778,0.195683,31101
53,54.0,1.0,2.0,0.0,3.0,1.0,1.0,0.221739,0.24571700000000002,0.423043,0.094113,31200
54,55.0,1.0,2.0,0.0,4.0,1.0,2.0,0.295652,0.289191,0.697391,0.250496,31201
55,56.0,1.0,2.0,0.0,5.0,1.0,2.0,0.364348,0.350461,0.712174,0.346539,31200
56,57.0,1.0,2.0,0.0,6.0,0.0,1.0,0.2825,0.282192,0.537917,0.18657100000000001,31200
57,58.0,1.0,2.0,0.0,0.0,0.0,1.0,0.343478,0.351109,0.68,0.125248,31201
58,59.0,1.0,2.0,0.0,1.0,1.0,2.0,0.407273,0.400118,0.8763639999999999,0.289686,31200
59,60.0,1.0,3.0,0.0,2.0,1.0,1.0,0.266667,0.263879,0.535,0.216425,31101
60,61.0,1.0,3.0,0.0,3.0,1.0,1.0,0.335,0.320071,0.449583,0.30783299999999997,31200
61,62.0,1.0,3.0,0.0,4.0,1.0,1.0,0.19833299999999998,0.200133,0.318333,0.225754,31200
62,63.0,1.0,3.0,0.0,5.0,1.0,2.0,0.261667,0.255679,0.610417,0.203346,31200
63,64.0,1.0,3.0,0.0,6.0,0.0,2.0,0.384167,0.378779,0.789167,0.251871,31200
64,65.0,1.0,3.0,0.0,0.0,0.0,2.0,0.37652199999999997,0.366252,0.948261,0.343287,31104
65,66.0,1.0,3.0,0.0,1.0,1.0,1.0,0.261739,0.238461,0.551304,0.341352,31104
66,67.0,1.0,3.0,0.0,2.0,1.0,1.0,0.2925,0.3024,0.420833,0.12065,31200
67,68.0,1.0,3.0,0.0,3.0,1.0,2.0,0.295833,0.286608,0.775417,0.22015,31200
68,69.0,1.0,3.0,0.0,4.0,1.0,3.0,0.38909099999999996,0.385668,0.0,0.26187699999999997,31104
69,70.0,1.0,3.0,0.0,5.0,1.0,2.0,0.31652199999999997,0.305,0.649565,0.23296999999999998,31200
70,71.0,1.0,3.0,0.0,6.0,0.0,1.0,0.329167,0.32575,0.594583,0.220775,31200
71,72.0,1.0,3.0,0.0,0.0,0.0,1.0,0.384348,0.380091,0.5273909999999999,0.270604,31219
72,73.0,1.0,3.0,0.0,1.0,1.0,1.0,0.32521700000000003,0.332,0.496957,0.136926,31201
73,74.0,1.0,3.0,0.0,2.0,1.0,2.0,0.317391,0.318178,0.655652,0.184309,31200
74,75.0,1.0,3.0,0.0,3.0,1.0,2.0,0.365217,0.36693000000000003,0.776522,0.20311700000000002,31200
75,76.0,1.0,3.0,0.0,4.0,1.0,1.0,0.415,0.410333,0.602917,0.209579,31200
76,77.0,1.0,3.0,0.0,5.0,1.0,1.0,0.54,0.5270090000000001,0.525217,0.231017,31200
77,78.0,1.0,3.0,0.0,6.0,0.0,1.0,0.4725,0.466525,0.37916700000000003,0.368167,31200
78,79.0,1.0,3.0,0.0,0.0,0.0,1.0,0.3325,0.32575,0.47375,0.20772100000000002,31200
79,80.0,2.0,3.0,0.0,1.0,1.0,2.0,0.430435,0.409735,0.737391,0.288783,31200
80,81.0,2.0,3.0,0.0,2.0,1.0,1.0,0.44166700000000003,0.44064200000000003,0.624583,0.22575,31200
81,82.0,2.0,3.0,0.0,3.0,1.0,2.0,0.346957,0.337939,0.839565,0.23426100000000002,31201
82,83.0,2.0,3.0,0.0,4.0,1.0,2.0,0.285,0.270833,0.805833,0.24378699999999998,31104
83,84.0,2.0,3.0,0.0,5.0,1.0,1.0,0.264167,0.256312,0.495,0.230725,31200
84,85.0,2.0,3.0,0.0,6.0,0.0,1.0,0.265833,0.257571,0.394167,0.209571,31217
85,86.0,2.0,3.0,0.0,0.0,0.0,2.0,0.25304299999999996,0.250339,0.493913,0.1843,31104
86,87.0,2.0,3.0,0.0,1.0,1.0,1.0,0.264348,0.25757399999999997,0.302174,0.212204,31205
87,88.0,2.0,3.0,0.0,2.0,1.0,1.0,0.3025,0.292908,0.31416700000000003,0.226996,31200
88,89.0,2.0,3.0,0.0,3.0,1.0,2.0,0.3,0.29735,0.646667,0.17288800000000001,31110
89,90.0,2.0,3.0,0.0,4.0,1.0,3.0,0.268333,0.257575,0.918333,0.217646,31201
90,91.0,2.0,4.0,0.0,5.0,1.0,2.0,0.3,0.283454,0.68625,0.258708,31200
91,92.0,2.0,4.0,0.0,6.0,0.0,2.0,0.315,0.315637,0.65375,0.19714600000000002,31217
92,93.0,2.0,4.0,0.0,0.0,0.0,1.0,0.378333,0.378767,0.48,0.182213,31217
93,94.0,2.0,4.0,0.0,1.0,1.0,1.0,0.573333,0.542929,0.42625,0.385571,31200
94,95.0,2.0,4.0,0.0,2.0,1.0,2.0,0.414167,0.39835,0.642083,0.388067,31200
95,96.0,2.0,4.0,0.0,3.0,1.0,1.0,0.390833,0.387608,0.470833,0.263063,31200
96,97.0,2.0,4.0,0.0,4.0,1.0,1.0,0.4375,0.433696,0.602917,0.16231199999999998,31200
97,98.0,2.0,4.0,0.0,5.0,1.0,2.0,0.335833,0.324479,0.83625,0.226992,31200
98,99.0,2.0,4.0,0.0,6.0,0.0,2.0,0.3425,0.34152899999999997,0.8775,0.13308299999999998,31200
99,100.0,2.0,4.0,0.0,0.0,0.0,2.0,0.426667,0.426737,0.8575,0.146767,31200
100,101.0,2.0,4.0,0.0,1.0,1.0,2.0,0.5956520000000001,0.565217,0.716956,0.324474,31201
101,102.0,2.0,4.0,0.0,2.0,1.0,2.0,0.5025,0.493054,0.739167,0.274879,31200
102,103.0,2.0,4.0,0.0,3.0,1.0,2.0,0.4125,0.417283,0.819167,0.25061700000000003,31104
103,104.0,2.0,4.0,0.0,4.0,1.0,1.0,0.4675,0.462742,0.540417,0.1107,31200
104,105.0,2.0,4.0,1.0,5.0,0.0,1.0,0.446667,0.441913,0.67125,0.226375,31200
105,106.0,2.0,4.0,0.0,6.0,0.0,3.0,0.43083299999999997,0.425492,0.888333,0.340808,31104
106,107.0,2.0,4.0,0.0,0.0,0.0,1.0,0.456667,0.445696,0.479583,0.303496,31200
107,108.0,2.0,4.0,0.0,1.0,1.0,1.0,0.5125,0.503146,0.5425,0.16356700000000002,31200
108,109.0,2.0,4.0,0.0,2.0,1.0,2.0,0.505833,0.48925799999999997,0.665833,0.157971,31200
109,110.0,2.0,4.0,0.0,3.0,1.0,1.0,0.595,0.564392,0.614167,0.241925,31200
110,111.0,2.0,4.0,0.0,4.0,1.0,1.0,0.459167,0.453892,0.407083,0.325258,31200
111,112.0,2.0,4.0,0.0,5.0,1.0,2.0,0.336667,0.321954,0.729583,0.219521,31104
112,113.0,2.0,4.0,0.0,6.0,0.0,2.0,0.46,0.450121,0.887917,0.230725,31200
113,114.0,2.0,4.0,0.0,0.0,0.0,2.0,0.581667,0.551763,0.810833,0.192175,31201
114,115.0,2.0,4.0,0.0,1.0,1.0,1.0,0.606667,0.5745,0.776667,0.185333,31200
115,116.0,2.0,4.0,0.0,2.0,1.0,1.0,0.631667,0.594083,0.729167,0.3265,31200
116,117.0,2.0,4.0,0.0,3.0,1.0,2.0,0.62,0.575142,0.835417,0.3122,31200
117,118.0,2.0,4.0,0.0,4.0,1.0,2.0,0.6175,0.578929,0.700833,0.32090799999999997,31200
118,119.0,2.0,4.0,0.0,5.0,1.0,1.0,0.51,0.497463,0.457083,0.240063,31200
119,120.0,2.0,4.0,0.0,6.0,0.0,1.0,0.4725,0.464021,0.503333,0.235075,31200
120,121.0,2.0,5.0,0.0,0.0,0.0,2.0,0.451667,0.448204,0.762083,0.10635399999999999,31200
121,122.0,2.0,5.0,0.0,1.0,1.0,2.0,0.549167,0.532833,0.73,0.183454,31200
122,123.0,2.0,5.0,0.0,2.0,1.0,2.0,0.616667,0.582079,0.697083,0.342667,31200
123,124.0,2.0,5.0,0.0,3.0,1.0,2.0,0.414167,0.40465,0.737083,0.328996,31200
124,125.0,2.0,5.0,0.0,4.0,1.0,1.0,0.459167,0.441917,0.44416700000000003,0.295392,31200
125,126.0,2.0,5.0,0.0,5.0,1.0,1.0,0.479167,0.474117,0.59,0.228246,31200
126,127.0,2.0,5.0,0.0,6.0,0.0,1.0,0.52,0.512621,0.54125,0.16045,31200
127,128.0,2.0,5.0,0.0,0.0,0.0,1.0,0.5283329999999999,0.518933,0.631667,0.0746375,31200
128,129.0,2.0,5.0,0.0,1.0,1.0,1.0,0.5325,0.525246,0.58875,0.17600000000000002,31200
129,130.0,2.0,5.0,0.0,2.0,1.0,1.0,0.5325,0.522721,0.489167,0.11567100000000001,31200
130,131.0,2.0,5.0,0.0,3.0,1.0,1.0,0.5425,0.5284,0.632917,0.12064200000000001,31200
131,132.0,2.0,5.0,0.0,4.0,1.0,1.0,0.535,0.523363,0.7475,0.189667,31200
132,133.0,2.0,5.0,0.0,5.0,1.0,2.0,0.5125,0.4943,0.863333,0.179725,31200
133,134.0,2.0,5.0,0.0,6.0,0.0,2.0,0.520833,0.500629,0.9225,0.13495,31200
134,135.0,2.0,5.0,0.0,0.0,0.0,2.0,0.5625,0.536,0.867083,0.152979,31200
135,136.0,2.0,5.0,0.0,1.0,1.0,1.0,0.5775,0.550512,0.787917,0.126871,31200
136,137.0,2.0,5.0,0.0,2.0,1.0,2.0,0.561667,0.538529,0.837917,0.277354,31200
137,138.0,2.0,5.0,0.0,3.0,1.0,2.0,0.55,0.527158,0.87,0.201492,31200
138,139.0,2.0,5.0,0.0,4.0,1.0,2.0,0.530833,0.510742,0.829583,0.10821300000000002,31200
139,140.0,2.0,5.0,0.0,5.0,1.0,1.0,0.536667,0.529042,0.719583,0.125013,31200
140,141.0,2.0,5.0,0.0,6.0,0.0,1.0,0.6025,0.571975,0.626667,0.12065,31200
141,142.0,2.0,5.0,0.0,0.0,0.0,1.0,0.604167,0.5745,0.749583,0.148008,31200
142,143.0,2.0,5.0,0.0,1.0,1.0,2.0,0.631667,0.590296,0.81,0.233842,31200
143,144.0,2.0,5.0,0.0,2.0,1.0,2.0,0.66,0.604813,0.740833,0.207092,31200
144,145.0,2.0,5.0,0.0,3.0,1.0,1.0,0.660833,0.615542,0.69625,0.15423299999999998,31200
145,146.0,2.0,5.0,0.0,4.0,1.0,1.0,0.708333,0.654688,0.6775,0.19964200000000001,31200
146,147.0,2.0,5.0,0.0,5.0,1.0,1.0,0.681667,0.637008,0.65375,0.240679,31200
147,148.0,2.0,5.0,0.0,6.0,0.0,1.0,0.655833,0.612379,0.729583,0.23009200000000002,31200
148,149.0,2.0,5.0,0.0,0.0,0.0,1.0,0.6675,0.61555,0.81875,0.21393800000000002,31200
149,150.0,2.0,5.0,1.0,1.0,0.0,1.0,0.733333,0.671092,0.685,0.131225,31200
150,151.0,2.0,5.0,0.0,2.0,1.0,1.0,0.775,0.725383,0.636667,0.111329,31200
151,152.0,2.0,6.0,0.0,3.0,1.0,2.0,0.764167,0.720967,0.677083,0.207092,31200
152,153.0,2.0,6.0,0.0,4.0,1.0,1.0,0.715,0.643942,0.305,0.29228699999999996,31200
153,154.0,2.0,6.0,0.0,5.0,1.0,1.0,0.62,0.587133,0.354167,0.253121,31200
154,155.0,2.0,6.0,0.0,6.0,0.0,1.0,0.635,0.594696,0.45625,0.123142,31200
155,156.0,2.0,6.0,0.0,0.0,0.0,2.0,0.648333,0.616804,0.6525,0.138692,31200
156,157.0,2.0,6.0,0.0,1.0,1.0,1.0,0.678333,0.621858,0.6,0.121896,31200
157,158.0,2.0,6.0,0.0,2.0,1.0,1.0,0.7075,0.65595,0.597917,0.187808,31200
158,159.0,2.0,6.0,0.0,3.0,1.0,1.0,0.775833,0.727279,0.6220829999999999,0.136817,31200
159,160.0,2.0,6.0,0.0,4.0,1.0,2.0,0.808333,0.757579,0.568333,0.149883,31200
160,161.0,2.0,6.0,0.0,5.0,1.0,1.0,0.755,0.703292,0.605,0.14055399999999998,31200
161,162.0,2.0,6.0,0.0,6.0,0.0,1.0,0.725,0.678038,0.654583,0.15485,31200
162,163.0,2.0,6.0,0.0,0.0,0.0,1.0,0.6925,0.643325,0.747917,0.16356700000000002,31200
163,164.0,2.0,6.0,0.0,1.0,1.0,1.0,0.635,0.601654,0.494583,0.30535,31200
164,165.0,2.0,6.0,0.0,2.0,1.0,1.0,0.604167,0.591546,0.507083,0.269283,31200
165,166.0,2.0,6.0,0.0,3.0,1.0,1.0,0.626667,0.587754,0.471667,0.16791199999999998,31200
166,167.0,2.0,6.0,0.0,4.0,1.0,2.0,0.628333,0.595346,0.688333,0.20647100000000002,31200
167,168.0,2.0,6.0,0.0,5.0,1.0,1.0,0.649167,0.600383,0.735833,0.143029,31200
168,169.0,2.0,6.0,0.0,6.0,0.0,1.0,0.696667,0.643954,0.670417,0.11940799999999999,31200
169,170.0,2.0,6.0,0.0,0.0,0.0,2.0,0.699167,0.645846,0.666667,0.102,31200
170,171.0,2.0,6.0,0.0,1.0,1.0,2.0,0.635,0.595346,0.74625,0.155475,31200
171,172.0,3.0,6.0,0.0,2.0,1.0,2.0,0.680833,0.637646,0.770417,0.171025,31200
172,173.0,3.0,6.0,0.0,3.0,1.0,1.0,0.733333,0.693829,0.7075,0.172262,31200
173,174.0,3.0,6.0,0.0,4.0,1.0,2.0,0.728333,0.693833,0.703333,0.238804,31200
174,175.0,3.0,6.0,0.0,5.0,1.0,1.0,0.724167,0.656583,0.573333,0.222025,31200
175,176.0,3.0,6.0,0.0,6.0,0.0,1.0,0.695,0.643313,0.483333,0.209571,31200
176,177.0,3.0,6.0,0.0,0.0,0.0,1.0,0.68,0.637629,0.513333,0.09453330000000001,31200
177,178.0,3.0,6.0,0.0,1.0,1.0,2.0,0.6825,0.637004,0.658333,0.10758800000000002,31200
178,179.0,3.0,6.0,0.0,2.0,1.0,1.0,0.744167,0.692558,0.634167,0.144283,31200
179,180.0,3.0,6.0,0.0,3.0,1.0,1.0,0.728333,0.654688,0.497917,0.261821,31200
180,181.0,3.0,6.0,0.0,4.0,1.0,1.0,0.696667,0.637008,0.434167,0.18531199999999998,31200
