,station_id,lat,lng,trips_2010,trips_2011,trips_2012,trips_2013,trips_2014,trips_2015,trips_2016,trips_2017,trips_2018,trips_2019
0,31000,38.858971,-77.05323,185,1171,1353,1128,1247,1891,1883,2529,2472,1563
1,31001,38.85725,-77.05332,372,3492,3393,2345,2180,2768,2233,2428,2441,1993
2,31002,38.856425,-77.049232,362,2883,4210,4625,4672,5127,6208,7060,6469,5451
3,31003,38.86017,-77.049593,463,3432,2443,2892,4218,4937,5304,5516,4794,4338
4,31004,38.85787967,-77.05950517,234,1598,1623,1626,2536,2837,3222,2770,2614,2127
5,31005,38.862303,-77.059936,176,1644,1599,3424,6003,7228,7221,7913,7264,5806
6,31006,38.86338883,-77.06339467,463,2869,3185,3367,4047,4127,3983,3914,3447,3164
7,31007,38.857404,-77.051131,1233,10089,10672,10516,11139,9938,7738,9586,8861,10437
8,31009,38.848466,-77.051514,505,4600,4748,4523,5435,5674,4805,4957,3514,2427
9,31010,38.8426,-77.0502,523,3855,3703,3558,4056,3944,3768,3635,3027,3069
10,31011,38.8533,-77.0498,564,3830,3509,3980,4703,4707,6094,5923,5314,4690
11,31012,38.85068583,-77.05150783,197,2111,2353,2229,1715,2026,2313,2373,2285,2468
12,31013,38.85438052,-77.0534116,327,2274,2333,2179,2302,2636,2479,2798,2798,2876
13,31014,38.89749417,-77.070641,0,5849,10956,11965,12015,14402,14652,15098,12574,10456
14,31015,38.89447983,-77.071887,0,3082,6835,7728,7459,7392,6420,6544,5363,4288
15,31016,38.89343383,-77.07636183,0,1766,2978,3686,4229,4554,5570,6384,5140,4887
16,31017,38.891696,-77.0846,0,311,6928,9656,9080,6478,5841,4844,4117,4233
17,31018,38.892164,-77.079375,0,2797,2656,2907,2495,2979,2581,2721,2350,2451
18,31019,38.889,-77.0925,0,150,2575,3114,3340,3225,3192,3844,3254,2554
19,31020,38.8904,-77.0889,0,86,3286,4106,4499,3883,3938,3835,3579,2612
20,31021,38.8881,-77.09308,0,66,2808,3461,3370,4374,4306,5029,4476,4113
21,31022,38.88786,-77.094875,0,114,4251,5042,5796,6807,6719,6823,6440,5521
22,31023,38.885801,-77.097745,0,0,2812,3555,3649,4465,4163,4239,3634,3098
23,31024,38.882788,-77.103148,0,0,4330,5698,6765,6702,6374,8128,6603,5673
24,31025,38.88397,-77.10783,0,0,2122,2325,2635,2949,3068,3103,2221,1877
25,31026,38.884734,-77.093485,0,0,1047,1886,2679,3380,3326,3568,3186,3155
26,31027,38.89629933,-77.07852283,0,0,1696,2247,2351,2307,2864,2649,1855,1505
27,31028,38.893237,-77.086063,0,0,1887,3079,3200,3118,2924,2279,2054,2016
28,31029,38.896923,-77.086502,0,0,1966,3529,3431,3418,4255,4051,3883,3452
29,31030,38.89593,-77.089006,0,0,3291,5481,5760,4917,4588,4453,4715,3951
30,31031,38.89054,-77.08095,0,0,2248,3531,3507,3527,3583,3842,3505,2826
31,31032,38.8808075,-77.09073267,0,0,788,1041,1138,1361,1188,1457,1245,1198
32,31033,38.850336,-77.100988,0,0,1848,2108,1815,2409,2118,982,762,834
33,31034,38.882629,-77.109366,0,0,1928,2837,3361,3913,3958,3825,2917,2713
34,31035,38.87639517,-77.10773533,0,0,2066,3242,2681,3271,2927,2767,2911,2531
35,31036,38.87886533,-77.12059483,0,0,1462,2148,2268,2352,2329,2681,1950,1741
36,31037,38.881044,-77.111768,0,0,3749,6090,6391,7365,8461,9813,8306,8643
37,31038,38.883921,-77.116817,0,0,1204,2295,1947,1999,1826,2637,2333,1632
38,31039,38.879885,-77.1078915,0,0,1831,3711,4700,4999,4578,5783,5130,4140
39,31040,38.884616,-77.10108,0,0,858,1664,2370,2925,2708,3164,2282,2037
40,31041,38.803124,-77.040363,0,0,623,2193,2783,2993,2873,3991,3183,3332
41,31042,38.804718,-77.043363,0,0,793,3394,3576,4656,5316,6242,5639,4866
42,31043,38.810741,-77.044632,0,0,744,2491,2600,2894,2105,2483,1969,1813
43,31044,38.805317,-77.049883,0,0,632,2616,2860,3035,2902,3284,2572,1845
44,31045,38.805648,-77.05293,0,0,376,1250,1561,2249,2267,2542,1856,1897
45,31046,38.811456,-77.050276,0,0,236,1223,1073,1471,1493,1787,1985,1538
46,31047,38.814577,-77.052808,0,0,1048,3369,4959,7785,9186,11314,9664,7267
47,31048,38.80576285,-77.06062675,0,0,1428,5781,6148,6146,4396,4714,3903,2392
48,31049,38.883669,-77.113905,0,0,727,1806,1768,2092,2634,3181,2144,2107
49,31050,38.884961,-77.08777,0,0,571,1851,2002,2358,2402,2161,1907,1468
50,31051,38.889365,-77.077294,0,0,497,2287,2285,2383,2347,2433,2221,2220
51,31052,38.84401133,-77.05048383,0,1,129,1560,1793,2304,2023,2467,2643,2441
52,31053,38.863833,-77.080319,0,0,0,1408,1747,1857,1861,2181,2025,1540
53,31054,38.84712905,-77.11255029,0,0,0,352,367,539,440,447,276,380
54,31055,38.846222,-77.069275,0,0,0,744,912,1193,1203,1310,1398,1442
55,31056,38.8480035,-77.0751585,0,0,0,498,755,999,1164,1323,1317,1134
56,31057,38.8443895,-77.08590983,0,0,0,731,1008,987,989,1029,909,1024
57,31058,38.8607365,-77.0958725,0,0,0,159,223,225,310,313,332,415
58,31059,38.84736,-77.095431,0,0,0,297,116,591,1335,1449,1111,1257
59,31060,38.84232,-77.089555,0,0,0,1561,1945,2310,1814,2515,2335,2431
60,31061,38.8484575,-77.08486033,0,0,0,137,202,224,269,442,356,345
61,31062,38.896571,-77.06714283,0,0,0,110,86,249,212,199,2519,6239
62,31063,38.85227783,-77.10501933,0,0,0,478,736,792,790,1009,758,672
63,31064,38.865029,-77.039511,0,0,0,177,327,412,280,306,432,11440
64,31065,38.880705,-77.08596,0,0,0,834,2045,2994,3231,2677,2526,1903
65,31066,38.867262,-77.072315,0,0,0,449,1126,1557,1857,2266,1789,1598
66,31067,38.862478,-77.086599,0,0,0,348,1484,1713,1648,1806,1561,1568
67,31068,38.856319,-77.11153,0,0,0,124,644,691,829,1658,1406,1433
68,31069,38.871822,-77.107906,0,0,0,774,2667,2489,2241,3283,2980,2170
69,31070,38.873755,-77.089233,0,0,0,83,827,1316,1582,1728,1636,1520
70,31071,38.86266083,-77.05446583,0,0,0,37,910,942,1060,1202,1120,6517
71,31072,38.837666,-77.09482,0,0,0,11,394,332,492,487,425,485
72,31073,38.873219,-77.082104,0,0,0,20,942,1351,1434,1707,1435,1480
73,31074,38.86946033,-77.09564367,0,0,0,16,1119,1202,1293,1469,1531,1586
74,31075,38.866471,-77.076131,0,0,0,0,401,452,618,654,777,1015
75,31076,38.8399205,-77.08720517,0,0,0,0,414,696,785,866,668,756
76,31077,38.8899305,-77.0713145,0,0,0,0,4541,8675,9858,10474,9000,7761
77,31078,38.869442,-77.104503,0,0,0,0,839,1732,1372,1439,1468,1612
78,31079,38.894941,-77.09169,0,0,0,0,1122,2925,3433,3326,2527,2801
79,31080,38.8976545,-77.08086833,0,0,0,0,1453,3967,4376,4256,4178,4434
80,31081,38.804378,-77.060866,0,0,0,0,356,1199,1671,2562,2377,1920
81,31082,38.80120467,-77.06895067,0,0,0,0,300,997,1090,2074,1949,1500
82,31083,38.82175,-77.047494,0,0,0,0,648,2073,2185,2994,2560,1799
83,31084,38.802677,-77.063562,0,0,0,0,1121,3317,3309,3414,2796,2506
84,31085,38.820064,-77.057619,0,0,0,0,727,1716,2145,1872,1267,1289
85,31086,38.82595,-77.058541,0,0,0,0,714,2361,2489,1999,1823,1514
86,31087,38.82092533,-77.05304167,0,0,0,0,553,1993,1850,2139,2205,1272
87,31088,38.83307083,-77.05965033,0,0,0,0,452,1395,1714,2168,2008,1672
88,31089,38.89052933,-77.08479467,0,0,0,0,2429,9301,10504,10668,9053,8775
89,31090,38.86545917,-77.05001867,0,0,0,0,206,898,887,1190,1038,1266
90,31091,38.85918233,-77.06322467,0,0,0,0,178,2220,2780,2855,2900,2644
91,31092,38.896456,-77.104562,0,0,0,0,27,1012,1157,963,835,1062
92,31093,38.8989985,-77.07831083,0,0,0,0,92,1985,2934,3180,2628,2217
93,31094,38.89534583,-77.09731817,0,0,0,0,0,844,1130,1189,781,592
94,31095,38.86239867,-77.06819083,0,0,0,0,0,662,830,631,769,639
95,31096,38.86612,-77.08787,0,0,0,0,0,608,752,833,789,962
96,31097,38.812718,-77.044097,0,0,0,0,0,0,3018,3281,2559,2322
97,31098,38.80692717,-77.05965083,0,0,0,0,0,0,2667,4514,4724,4188
98,31099,38.813485,-77.049468,0,0,0,0,0,0,1476,1927,1709,1602
99,31100,38.9003,-77.0429,1758,14118,13008,12665,12031,10173,9550,9229,8561,6930
100,31101,38.917764,-77.032096,3667,25222,33134,32495,32958,35691,35117,33159,28661,26602
101,31102,38.929464,-77.027822,1120,13364,18377,19328,19649,19430,18367,16915,14415,13700
102,31103,38.92614317,-77.03666667,2238,18322,28427,26026,23270,23046,20293,17284,20470,23327
103,31104,38.92309217,-77.0425385,4160,29964,32414,29072,26625,24612,24399,21040,18538,17989
104,31105,38.92673983,-77.032237,2360,17507,21265,22115,21367,19923,14045,9802,9023,8729
105,31106,38.923203,-77.047637,2198,19613,23298,20407,6735,7364,7509,6757,5893,5602
106,31107,38.93190217,-77.03880633,2169,15587,19587,19659,18522,16449,14564,12972,13741,16084
107,31108,38.876649,-77.01788883,1502,10913,16639,17604,18346,19387,21230,23581,21574,21298
108,31109,38.9154545,-77.02214233,930,10453,12999,16035,20453,20501,23165,23609,19683,17178
109,31110,38.9154,-77.0446,2692,23971,25841,27565,26084,25060,23971,23353,21111,21160
110,31111,38.9172,-77.0259,1928,16737,21412,20838,16873,13427,13906,16287,13394,13180
111,31112,38.92791467,-77.04323967,325,3265,3550,3984,4277,4846,4666,4258,3669,3809
112,31113,38.9206425,-77.0435445,0,1234,17145,15799,14974,14085,13253,12384,12072,13195
113,31114,38.918809,-77.041571,0,0,0,13580,18514,19925,20547,19332,18866,19109
114,31115,38.928121,-77.023794,0,208,8707,10613,10695,11534,11159,10439,10546,11182
115,31116,38.917761,-77.04062,0,390,18959,19726,18641,18769,18402,17149,16140,14344
116,31117,38.92333,-77.0352,0,0,0,10977,15628,15311,14379,12848,11647,14276
117,31118,38.917622,-77.01597,0,0,0,3954,9749,10078,9318,9593,8972,8808
118,31119,38.921074,-77.031887,0,0,0,3503,18423,19060,18072,16807,15006,14689
119,31120,38.920387,-77.025672,0,0,0,1126,6673,8297,8902,8990,8320,9292
120,31121,38.923583,-77.050046,0,0,0,2224,21907,22287,21309,19893,17301,11168
121,31122,38.92885833,-77.03623483,0,0,0,0,0,0,8441,10131,10302,9647
122,31123,38.925284,-77.032375,0,0,0,0,0,0,7491,10284,8271,7054
123,31124,38.928552,-77.032224,0,0,0,0,0,0,8321,22389,29610,34900
124,31125,38.9190185,-77.034449,0,0,0,0,0,0,0,16737,17372,17450
125,31126,38.9255525,-77.02700933,0,0,0,0,0,0,0,7596,14106,16842
126,31127,38.89892547,-77.04885238,0,0,0,0,0,0,0,5788,9761,8733
127,31128,38.905303,-77.050264,0,0,0,0,0,0,0,8028,20371,18679
128,31129,38.89646475,-77.03338087,0,0,0,0,0,0,0,4351,23698,17629
129,31130,38.91420432,-77.0221746,0,0,0,0,0,0,0,0,0,3886
130,31131,38.934405,-77.032687,0,0,0,0,0,0,0,0,0,3342
131,31132,38.91693645,-77.02963114,0,0,0,0,0,0,0,0,0,0
132,31200,38.91008617,-77.0442655,5093,49093,58069,64875,60764,55836,52619,46702,38859,29356
133,31201,38.909868,-77.034421,3749,32884,40823,45584,42278,41240,41574,43305,39346,35382
134,31202,38.913046,-77.032008,1882,16001,20401,23976,26251,26775,25790,26482,24388,18696
135,31203,38.9086,-77.0323,3014,23871,26271,27432,25681,26531,26904,29749,26249,23091
136,31204,38.8963,-77.045,1545,12973,15072,15106,13252,12493,12403,12800,10680,9137
137,31205,38.900711,-77.046449,3010,23574,26190,16692,15404,15326,15016,14871,11717,11280
138,31206,38.8952,-77.0436,900,6879,7968,6762,6376,5387,5282,5136,4272,3748
139,31207,38.92493533,-77.02218183,677,5385,5260,5710,5191,5625,5615,5196,4208,4085
140,31208,38.8763,-77.0037,969,10680,10576,10096,8597,9155,8398,9600,9762,7417
141,31209,38.8743,-77.0057,146,2785,4074,3931,5696,5582,6444,8974,9264,7927
142,31211,38.897293,-77.05557,205,3264,3751,3954,4269,4843,8488,9661,8969,7106
143,31212,38.9057265,-77.0473565,2114,17764,23375,22523,24209,25074,24443,24026,20127,17242
144,31213,38.90276,-77.03863,2297,15777,19622,22045,23288,23901,23219,22474,18729,16087
145,31214,38.91202467,-77.03852817,3145,28160,35342,35587,34688,31430,26899,26268,24617,22135
146,31215,38.902314,-77.0591415,1186,11416,12328,14904,15713,16542,16475,16044,13399,11799
147,31216,38.899632,-77.031686,1281,10950,14999,13300,13030,14174,12903,12904,11541,10619
148,31217,38.88627695,-77.02824175,1377,20799,15981,14024,15273,16791,15949,16374,12354,9319
149,31218,38.88629367,-77.02223817,1551,16253,14437,14902,17221,19974,20112,20007,17548,14568
150,31219,38.893028,-77.026013,1553,16500,17182,17348,18001,19090,17447,21041,18396,13211
151,31220,38.894919,-77.046587,803,10214,14900,11061,9912,10096,8889,7551,7192,6357
152,31221,38.905066,-77.041778,1663,17373,16423,16314,15746,16660,16290,16985,16133,14008
153,31222,38.89903234,-77.03335404,1247,16833,20577,22216,24965,28231,28298,27758,19251,13118
154,31223,38.905737,-77.02227,1095,14329,20925,20404,22264,21549,17976,19969,19970,19301
155,31224,38.90374145,-77.0424521,1208,13265,12992,12245,12003,12377,10836,10508,9564,8298
156,31225,38.90375,-77.06269,1123,16646,18897,17257,16817,16504,15252,13842,12350,10038
157,31226,38.91653217,-77.06832133,458,5164,7388,7701,7257,7469,6679,6579,5666,5171
158,31227,38.900283,-77.029822,1458,14534,16069,15160,14912,14392,14278,14195,12464,10805
159,31228,38.89968983,-77.0230865,2262,22762,25882,25668,26673,29020,25839,30522,27589,20690
160,31229,38.915544,-77.038252,2247,24074,31738,35243,36740,35844,33064,32316,31654,34667
161,31230,38.898364,-77.027869,0,13594,25839,22117,21334,21729,21613,21307,20261,19295
162,31231,38.894514,-77.031617,0,9493,15994,18898,20638,20588,20545,22376,14197,11579
163,31232,38.897283,-77.02219,0,15739,26473,26731,23792,23709,21511,24826,22715,18839
164,31233,38.902061,-77.038322,0,10359,16570,17833,18457,19016,17978,18159,17420,14084
165,31234,38.908905,-77.04478,0,0,15831,19848,20129,21631,19298,18780,17737,15409
166,31235,38.8923,-77.0436,796,14674,20857,15322,17086,17405,12921,12240,11259,8847
167,31236,38.907886,-77.07168833,850,8654,12169,13222,14162,14235,13677,14491,12319,11231
168,31237,38.903827,-77.053485,1084,19125,21008,23473,22615,20562,19670,18320,15823,14518
169,31238,38.898409,-77.032278,802,13678,16391,17255,17868,18413,19048,20638,14630,12166
170,31239,38.9059957,-77.03980207,0,982,24506,25056,21282,22598,19513,17354,15102,13790
171,31240,38.88412,-77.04657,0,0,15744,14444,16375,17539,17364,18994,17620,12813
172,31241,38.9059,-77.0325,0,1706,33875,41327,43975,39896,38035,30513,28685,28316
173,31242,38.89968,-77.041539,0,637,15713,17743,17515,16132,15887,15784,13724,12666
174,31243,38.88630383,-77.01768133,0,0,18633,23957,24563,27408,24939,26397,18259,15603
175,31244,38.88412,-77.017445,0,372,12401,15112,14940,16915,19109,21128,17181,13539
176,31245,38.912719,-77.022155,0,587,15297,17811,21062,21039,17048,18213,16549,15906
177,31246,38.905126,-77.056887,0,154,17271,22961,22661,24071,21417,21954,18541,16406
178,31247,38.888552,-77.032427,0,0,25886,33469,48355,57982,55782,59259,43993,32180
179,31248,38.8887825,-77.02857783,0,0,17346,27371,32586,30534,28529,42406,38803,31474
180,31249,38.879819,-77.037413,0,0,11369,23571,29597,35700,35372,42525,35752,25901
181,31250,38.903584,-77.044789,0,0,4737,10357,9507,9747,9451,9580,8764,8785
182,31251,38.903819,-77.0284,0,0,8390,15940,15358,15864,15228,14420,15071,15736
183,31252,38.901539,-77.046564,0,0,4990,10946,10873,11103,10534,10505,9610,7969
184,31253,38.902204,-77.04337,0,0,4981,10913,10431,10402,9816,9818,9241,8543
185,31254,38.902,-77.03353,0,0,6210,15332,15377,15595,14611,14871,10674,10836
186,31255,38.906697,-77.05108917,0,0,5044,12694,13844,15628,14279,14329,12034,10486
187,31256,38.895966,-77.02590433,0,0,6280,14261,13767,13593,14305,15410,15156,10839
188,31257,38.90088,-77.048911,0,0,9289,25758,24405,22459,21438,20616,17651,17073
189,31258,38.888255,-77.049437,0,0,5626,43686,57170,69609,60199,65884,53869,35268
190,31259,38.894722,-77.045128,0,0,0,4930,5162,5495,5110,4803,4439,4108
191,31260,38.89610683,-77.04976833,0,0,0,8690,10210,11325,12363,12385,10854,9932
192,31261,38.892459,-77.046567,0,87,0,10671,12495,13503,10987,8448,7739,6505
193,31262,38.89754867,-77.02731167,0,22,16,10411,12942,13867,12353,11190,9771,8157
194,31263,38.902283,-77.02622667,0,0,0,13132,17507,18072,18056,19381,18534,18134
195,31264,38.894573,-77.01994,0,0,0,12624,15077,16292,15382,17330,16235,12124
196,31265,38.90093,-77.018677,0,0,0,12544,24277,23967,24952,25605,22588,20848
197,31266,38.905578,-77.027313,3,1,0,16103,24214,24698,22904,22725,23434,22748
198,31267,38.90817033,-77.03837183,0,0,0,13255,21480,23310,21739,22191,21538,20377
199,31268,38.91661067,-77.02810033,0,0,0,11479,22105,19702,18694,17680,17146,17573
200,31269,38.887378,-77.001955,0,0,0,6975,16653,18628,20040,18710,16737,13842
201,31270,38.894851,-77.02324,0,0,0,5297,14582,15684,16639,18382,15532,12652
202,31271,38.892275,-77.013917,0,0,0,8370,20815,23593,26069,28716,23877,19358
203,31272,38.886978,-77.013769,0,0,0,5492,18050,19315,18667,20765,16767,15367
204,31273,38.878433,-77.03023,0,0,0,118,4949,5032,6416,6585,6069,6142
205,31274,38.89842133,-77.02611983,0,0,0,0,4462,12917,12033,11665,10695,8717
206,31275,38.901755,-77.051084,0,0,0,0,4698,14929,17216,19252,17741,15119
207,31276,38.903649,-77.034918,0,0,0,0,2836,17809,14775,13579,12550,10261
208,31277,38.89828295,-77.03973234,0,0,0,0,3559,22259,24259,23503,23509,17543
209,31278,38.9126585,-77.0418445,0,0,0,0,1528,20800,21437,21771,17952,15476
210,31279,38.898412,-77.043182,0,0,0,0,0,8860,11375,11184,11018,10251
211,31280,38.913761,-77.027025,0,0,0,0,0,9847,12415,12759,11033,12138
212,31281,38.90864,-77.02277,0,0,0,0,0,9937,24042,26438,25954,22357
213,31282,38.912652,-77.036278,0,0,0,0,0,0,11117,13434,11154,10908
214,31283,38.90369117,-77.03190083,0,0,0,0,0,0,10299,14254,14547,12815
215,31284,38.89349483,-77.04150617,0,0,0,0,0,0,5901,8116,7664,6813
216,31285,38.90922317,-77.04865483,0,0,0,0,0,0,9829,14806,13903,12161
217,31286,38.90843,-77.02714,0,0,0,0,0,0,8956,14985,15861,14197
218,31287,38.88432272,-77.02601016,0,0,0,0,0,0,4357,6416,6103,8723
219,31288,38.890496,-77.017247,0,0,0,0,0,0,18263,37751,41888,32924
220,31289,38.890539,-77.049383,0,0,0,0,0,0,21469,40659,41020,34185
221,31290,38.888097,-77.038325,0,0,0,0,0,0,13733,30088,29578,23259
222,31291,38.90113645,-77.03445107,0,0,0,0,0,0,3307,9961,13963,13760
223,31292,38.892441,-77.048947,0,0,0,0,0,0,1231,8268,8108,8106
224,31293,38.902814,-77.061043,0,0,0,0,0,0,0,7363,8721,8267
225,31294,38.88345,-77.021741,0,0,0,0,0,0,0,6747,7402,7201
226,31295,38.90540217,-77.06528,0,0,0,0,0,0,0,9715,12949,11157
227,31296,38.924088,-77.040787,0,0,0,0,0,0,0,8216,14410,17385
228,31297,38.8995,-77.054155,0,0,0,0,0,0,0,3865,6090,5290
229,31298,38.905424,-77.034674,0,0,0,0,0,0,0,9513,16745,17969
230,31299,38.912644,-77.04564,0,0,0,0,0,0,0,8231,15190,14375
231,31300,38.944551,-77.063896,581,5812,7413,7204,6384,6628,6177,5082,4504,3678
232,31301,38.93877167,-77.08724733,568,4482,5072,5181,5158,5263,4466,4339,3298,3090
233,31302,38.934881,-77.072755,669,7568,8179,5496,5148,7840,8670,8598,7936,8287
234,31303,38.947607,-77.079382,548,7349,8351,8841,8429,8951,7999,7143,6720,6201
235,31304,38.922581,-77.070334,191,4898,5060,6166,5953,5314,5031,5260,4835,4542
236,31305,38.9343255,-77.0580075,407,7378,8814,9092,7705,7640,6436,6270,5563,5624
237,31306,38.92262517,-77.07715233,0,0,6043,7809,8343,7944,6789,6374,6423,7104
238,31307,38.93037117,-77.0556405,0,99,8237,8878,8288,8267,8072,8018,7120,7118
239,31308,38.94389683,-77.07709317,0,0,0,3831,4388,5024,4601,4681,3975,3735
240,31309,38.95479733,-77.08244017,0,0,0,1885,1263,1705,1454,1353,1322,1126
241,31310,38.955016,-77.069956,0,0,0,4141,5327,5161,4675,4699,4335,3986
242,31312,38.90849,-77.063586,0,0,0,8547,11770,12041,11674,12094,9268,8697
243,31313,38.94116183,-77.0619945,0,0,0,72,3798,3873,3937,3351,2666,2894
244,31314,38.90362317,-77.06757417,0,0,0,0,4697,10980,10782,11630,9499,9399
245,31315,38.96454351,-77.07513481,0,0,0,0,205,1955,2122,2164,1761,1847
246,31316,38.946182,-77.08059,0,0,0,0,0,0,1417,1842,1797,1389
247,31317,38.958267,-77.084636,0,0,0,0,0,0,1249,2005,2011,2111
248,31318,38.947156,-77.065115,0,0,0,0,0,0,2022,3009,2396,2648
249,31319,38.9498875,-77.0802025,0,0,0,0,0,0,712,2847,2762,3194
250,31320,38.936298,-77.087128,0,0,0,0,0,0,0,851,1561,1706
251,31321,38.892244,-77.033234,0,0,0,0,0,0,0,14970,26383,22649
252,31322,38.91699867,-77.09579033,0,0,0,0,0,0,0,0,185,1134
253,31323,38.923389,-77.051833,0,0,0,0,0,0,0,0,240,14038
254,31324,38.911268,-77.041829,0,0,0,0,0,0,0,0,0,16923
255,31325,38.91271133,-77.07439233,0,0,0,0,0,0,0,0,0,0
256,31326,38.90967633,-77.08557717,0,0,0,0,0,0,0,0,0,0
257,31327,38.910674,-77.03188,0,0,0,0,0,0,0,0,0,0
258,31328,38.8983895,-77.04688017,0,0,0,0,0,0,0,0,0,0
259,31400,38.93668393,-77.02418089,1323,10045,12943,13245,13498,12806,12754,11808,11218,10926
260,31401,38.93742817,-77.03285967,1125,7349,8200,8976,8687,9089,9222,9936,11151,11410
261,31402,38.94761817,-77.03283633,244,2281,2954,2603,2346,2509,2429,2198,1883,1542
262,31403,38.95655555,-77.01981425,0,0,0,1123,1309,1762,2176,2537,2055,2078
263,31404,38.9418,-77.0251,0,160,5229,5599,6069,5981,7169,8152,6594,6348
264,31405,38.949662,-77.027333,0,0,0,1479,2330,2504,2165,2847,2690,2660
265,31406,38.942475,-77.032678,0,0,0,3652,4275,4384,5289,5640,4551,4154
266,31407,38.956432,-77.032947,0,0,0,2239,3005,3223,3128,3820,3161,3226
267,31408,38.975219,-77.016855,0,0,0,0,5352,6525,6338,7182,5751,5889
268,31411,38.961339,-77.027855,0,0,0,0,0,429,1605,1380,1297,1772
269,31412,38.957461,-77.00222883,0,0,0,0,0,0,8,592,1063,950
270,31413,38.96884433,-77.0162425,0,0,0,0,0,0,0,1104,1227,1424
271,31414,38.96752167,-77.02795633,0,0,0,0,0,0,0,968,994,1157
272,31415,38.95674,-77.02791,0,0,0,0,0,0,0,0,1263,1266
273,31416,38.969489,-77.033509,0,0,0,0,0,0,0,0,155,727
274,31417,38.94822017,-77.02195133,0,0,0,0,0,0,0,0,628,4392
275,31418,38.95155067,-77.01287233,0,0,0,0,0,0,0,0,0,2877
276,31419,38.932128,-77.0235,0,0,0,0,0,0,0,0,0,5041
